source_id	pages_read	turns_read	items_read	user_chars_observed	assistant_chars_observed	truncated_items	attachments_observed	links_observed	topic_signals	traversal_status	review_status	disposition	locator_status	reviewed_at
CGP-016	1	9	18	178	10800	9	0	0	network_distributed,cognition_memory,agent_automation	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-017	1	8	17	2263	10091	8	0	0	network_distributed,visual_design,legacy_integration	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	APPLICATION_CANDIDATE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-018	21	205	354	45940	11519	0	0	0	visual_design,compute_models,cognition_memory	OLDEST_PAGE_REACHED	PRIORITY_ABSTRACTED	DESIGN_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-019	1	3	6	724	3600	3	0	1	visual_design,compute_models,legacy_integration	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	LEGACY_REFERENCE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-020	3	29	58	13628	34800	29	0	0	compute_models,network_distributed,visual_design	OLDEST_PAGE_REACHED	PRIORITY_ABSTRACTED	RESEARCH_ONLY	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-021	4	33	66	1175	39600	33	0	5	network_distributed,commercial_finance,compute_models	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	APPLICATION_CANDIDATE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-022	1	7	14	1744	7385	6	0	1	compute_models,cognition_memory,agent_automation	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-023	2	14	28	752	16800	14	0	0	visual_design,compute_models,agent_automation	OLDEST_PAGE_REACHED	PRIORITY_ABSTRACTED	DESIGN_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-024	1	3	6	1803	3600	3	0	1	compute_models,network_distributed,agent_automation	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	RESEARCH_ONLY	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-025	8	76	131	13094	10831	2	0	0	visual_design,cognition_memory,compute_models	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	META_INTAKE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-026	2	17	34	2176	16986	13	0	0	network_distributed,visual_design,security_ethics_rights	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-027	1	3	6	912	2487	2	0	0	commercial_finance,network_distributed,cognition_memory	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	APPLICATION_CANDIDATE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-028	107	1061	1890	185271	205760	71	0	71	cognition_memory,compute_models,visual_design	OLDEST_PAGE_REACHED	PRIORITY_ABSTRACTED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-029	1	3	6	517	3600	3	0	0	visual_design,legacy_integration,agent_automation	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	META_INTAKE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-030	1	2	4	227	2000	1	0	0	commercial_finance,visual_design,security_ethics_rights	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	APPLICATION_CANDIDATE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-031	2	17	29	3970	4253	2	0	11	agent_automation,compute_models,visual_design	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	META_INTAKE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-032	2	15	43	892	5234	1	0	0	cognition_memory,compute_models,agent_automation	OLDEST_PAGE_REACHED	PRIORITY_ABSTRACTED	RESEARCH_ONLY	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-033	5	43	86	1081	51600	43	0	11	agent_automation,cognition_memory,compute_models	OLDEST_PAGE_REACHED	PRIORITY_ABSTRACTED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-034	1	1	2	1200	1200	1	0	0	agent_automation,compute_models,cognition_memory	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	RESEARCH_ONLY	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-035	6	54	109	22370	65721	54	0	27	network_distributed,compute_models,agent_automation	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	RESEARCH_ONLY	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-036	2	13	29	881	5162	1	0	0	security_ethics_rights,network_distributed,visual_design	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	GOVERNANCE_RESEARCH	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-037	2	12	24	5072	14400	12	0	2	visual_design,agent_automation,network_distributed	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-038	2	16	32	924	19200	16	0	0	agent_automation,cognition_memory,commercial_finance	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	APPLICATION_CANDIDATE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-039	5	46	93	10683	55474	46	0	9	commercial_finance,network_distributed,compute_models	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	APPLICATION_CANDIDATE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-040	1	2	4	630	2400	2	0	0	commercial_finance,network_distributed,visual_design	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	APPLICATION_CANDIDATE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-041	1	10	17	2239	7352	6	0	2	legacy_integration,compute_models,network_distributed	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	LEGACY_REFERENCE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-042	3	30	60	24120	36000	30	0	0	cognition_memory,agent_automation,compute_models	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	AGENT_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-043	1	2	4	830	2400	2	0	0	network_distributed,agent_automation,cognition_memory	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	AGENT_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-044	1	6	12	5174	7200	6	0	0	agent_automation,compute_models,visual_design	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	AGENT_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-045	4	33	66	16324	33038	15	0	0	visual_design,compute_models,network_distributed	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-046	7	70	141	8589	82053	67	0	1	compute_models,cognition_memory,visual_design	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	RESEARCH_ONLY	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-047	1	1	2	228	1200	1	0	0	network_distributed,agent_automation,compute_models	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
