research_id	title	source_type	source_name	creator	year	domain	technology_category	description	claimed_function	underlying_mechanism	evidence_class	utility_class	known_physics_status	real_world_analogues	related_patents	related_papers	related_fiction	modules_affected	useful_principles	failure_lessons	prototype_possible	simulation_possible	tests	results	status	reason_accepted	reason_rejected	reopen_conditions	provenance	last_reviewed
SCI-ANOMALY	Anomaly science workflow	PRINCIPLE	Anomaly science engine	User supplied research	2026	science	anomaly_analysis	Anomaly handling verifies sensors, seeks corroboration, generates normal and alternative explanations, then ranks them.	classify known probable artefact insufficient and unknown cases	uncertainty-aware hypothesis comparison	E0	U5	not a physical mechanism	multisensor analysis	-	-	UAP and scientific experiments	perception;research	unknown is an allowed outcome	forcing binary ordinary or extraordinary conclusions	YES	YES	hypothesis ranking and sensor-fault tests	not_started	REGISTERED	generalizes beyond UAP to sensors, security and world-model errors	-	validated sensor adapters and benchmark corpus	technology_mining_addendum:1397;1433	2026-09-02
COG-PERSPECTIVE-COUNCIL	Perspective council	FICTIONAL	MAGI-derived decision pattern	User supplied research	2026	cognition	multi_perspective	Important problems can receive independent logical social affective empirical and adversarial assessments.	produce primary alternative minority and uncertainty reports	parallel evaluators with explicit disagreement preservation	E0	U5	not a physical mechanism	independent evaluators	-	-	Evangelion MAGI	cognition;research	one cognitive organ need not do everything	fake personalities can create superficial diversity	YES	YES	disagreement calibration and arbitration tests	not_started	REGISTERED	directly supports anti-groupthink design	-	measured decision-quality improvement	technology_mining_addendum:1429	2026-09-02
DAT-SHARED-DOMAIN	Shared domain knowledge boundary	PRINCIPLE	Shared domain architecture	User supplied research	2026	knowledge	knowledge_scope	Validated general knowledge is kept separate from personal autobiography and creator-private memory.	share knowledge without merging identities	scope-labelled records and access policy	E0	U5	not a physical mechanism	knowledge bases	-	-	Halo Domain	memory;identity;security	knowledge synchronization is not personality synchronization	shared stores can leak private autobiography	YES	YES	scope and access-boundary tests	not_started	REGISTERED	supports multiple future organisms safely	-	explicit identity and authorization policy	technology_mining_addendum:1373;1430;1413	2026-09-02
SIM-DIVERGENCE	Divergent digital twin self	PRINCIPLE	Digital twin divergence boundary	User supplied research	2026	simulation	digital_twins	A twin or shadow copy that gains independent experience is tracked as divergent rather than silently reintegrated.	measure divergence and preserve autobiographical identity	branch identity and experience-delta records	E0	U5	not a physical mechanism	digital twins and simulations	-	-	Vex and digital-copy fiction	simulation;identity;memory	copy does not automatically mean continuity	silent reintegration destroys lineage evidence	YES	YES	branch divergence and merge-policy tests	not_started	REGISTERED	makes simulation acceleration safe to reason about	-	explicit merge authorization and evidence	technology_mining_addendum:1372;1431	2026-09-02
SLF-NET-BOUNDARY	Network identity boundary	PRINCIPLE	Network presence and organism identity	User supplied research	2026	identity	network_identity	Presence on a network, access to a network and membership of the organism are separate states.	distinguish remote access from organism composition	capability, trust and identity boundary records	E0	U5	not a physical mechanism	network access control	-	-	Serial Experiments Lain	identity;network;security	protocol is not trust and online presence is not organism identity	remote nodes can be mistaken for self	YES	YES	boundary and replay tests	not_started	REGISTERED	strengthens local-first identity portability	-	qualified authentication and explicit membership evidence	technology_mining_addendum:1366;1432	2026-09-02
RES-MACHINE-SAMARITAN	Prediction separated from authority	FICTIONAL	Person of Interest Machine and Samaritan	User supplied research	2026	cognition	decision_authority	Prediction and surveillance capability are separated from the policy that authorizes action.	keep recommendations distinct from authority	prediction service plus explicit policy gate	E0	U4	not a physical mechanism	decision-support systems	-	[3]	Person of Interest	cognition;security	prediction must not silently become permission	centralized surveillance and goal drift	YES	YES	policy-gate and dissent tests	not_started	REGISTERED	useful authority boundary extracted from fiction	-	measured safety and authorization evidence	technology_mining_addendum:1361	2026-09-02
RES-GAIA-SPECIALISTS	Coordinator with functional specialists	FICTIONAL	Horizon GAIA	User supplied research	2026	cognition	modular_cognition	A coordinating intelligence can use specialist systems without pretending every subsystem has the same objective.	coordinate specialist capabilities while retaining organism identity	master coordinator with role-bounded specialists	E0	U4	not a physical mechanism	specialist services	-	-	Horizon Zero Dawn	cognition;agents	separate specialist competence from authority	disconnected specialist goals can destabilize the organism	YES	YES	coordination and conflicting-goal tests	not_started	REGISTERED	supports a modular cognitive architecture	-	measured specialist coordination and policy evidence	technology_mining_addendum:1362	2026-09-02
RES-RESURRECTION-CONTINUITY	Restore copy and identity distinction	FICTIONAL	Battlestar Galactica resurrection	User supplied research	2026	identity	continuity	Restoration, copying and continued identity are treated as different lineage operations.	describe continuity claims without conflating a copy with an organism	identity, snapshot and lineage records	E0	U4	not a physical mechanism	checkpoint and restore systems	-	-	Battlestar Galactica	identity;lineage;storage	restore evidence must preserve the pre-restore boundary	copy may diverge immediately after restoration	YES	YES	restore and fork lineage tests	not_started	REGISTERED	aligns with explicit Genesis origin kinds	-	continuity policy and cryptographic provider	technology_mining_addendum:1363	2026-09-02
RES-UPLOADED-INTELLIGENCE	Portable hosted identity	FICTIONAL	Pantheon and Upload	User supplied research	2026	identity	portability	Hosted digital persons are dependent on infrastructure, motivating exportability and host migration.	export identity and migrate between local hosts	portable snapshots plus host capability contracts	E0	U4	not a physical mechanism	local-first hosting	-	[18]	Pantheon;Upload	identity;storage;deployment	identity should not be locked to one provider	migration can break hidden dependencies	YES	YES	portable snapshot and migration tests	not_started	REGISTERED	reinforces local-first deployment boundaries	-	qualified migration and privacy evidence	technology_mining_addendum:1364;1376	2026-09-02
RES-DIGITAL-COPY	Persistent simulation consequences	FICTIONAL	Black Mirror digital-copy scenarios	User supplied research	2026	simulation	persistent_agents	A persistent simulated agent with memory and self-model is not the same record as a temporary mathematical model.	track persistence identity duration memory and affective state	agent lifecycle and simulation-time records	E0	U4	not a physical mechanism	digital simulations	-	[7]	Black Mirror	simulation;identity;memory	persistent simulations require explicit lifecycle and disposal policy	software consciousness is not established by persistence	YES	YES	lifecycle and time-domain tests	not_started	REGISTERED	provides a safety-oriented simulation distinction	-	empirical evidence about capability and welfare claims	technology_mining_addendum:1365	2026-09-02
RES-COMPLEMENTARY-AI	Complementary cognitive organs	FICTIONAL	Neuromancer Wintermute and Neuromancer	User supplied research	2026	cognition	modular_cognition	Specialist predictive and identity or representation systems can coordinate without fragmenting organism identity.	compose specialist strengths under one identity contract	role-bounded cognitive services and arbitration	E0	U4	not a physical mechanism	specialist AI systems	-	-	Neuromancer	cognition;identity	one organ need not do everything	uncontrolled fragmentation creates inconsistent goals	YES	YES	specialist coordination tests	not_started	REGISTERED	supports modular cognition without identity merging	-	measured integration and policy evidence	technology_mining_addendum:1367	2026-09-02
RES-KAYLON	Shared knowledge without identical identity	FICTIONAL	The Orville Kaylon	User supplied research	2026	identity	distributed_cognition	Networked agents can share history while retaining individual identity records.	separate knowledge synchronization from personality synchronization	versioned shared state and local autobiography	E0	U4	not a physical mechanism	distributed systems	-	-	The Orville	identity;network;memory	share data without merging selves	correlated failure and identity dilution	YES	YES	sync and identity-boundary tests	not_started	REGISTERED	supports sibling and distributed organism scenarios	-	qualified synchronization and conflict evidence	technology_mining_addendum:1369;1413	2026-09-02
RES-WEARABLE-FUSION	Multimodal wearable biosensing	SCIENTIFIC	Multimodal wearable biosensing research	User supplied research	2026	perception	wearables	Heterogeneous wearable sensors require time alignment and data-level fusion before context inference.	combine watch ring clothing patch glasses and phone signals	temporal alignment followed by multimodal fusion	E3	U6	device capability varies and must be qualified	wearable biosensors	-	[19]	-	perception;body;adapters	preserve sensor provenance and alignment uncertainty	heterogeneous sensors drift and fail independently	YES	YES	fusion and missing-sensor tests	not_started	REGISTERED	high-value local adapter candidate	-	device-specific qualified traces	technology_mining_addendum:1379	2026-09-02
RES-BCI-ABI	Reserved brain-computer interface ABI	SCIENTIFIC	Clinical and experimental BCI research	User supplied research	2026	perception	bci	BCI routes are reserved for future EEG, wearable and clinical adapters but are never required for operation.	decode neural signals into bounded commands	neural signal acquisition and context-aware decoding	E3	U3	active clinical/research field; no local qualification	EEG and implantable BCI	[22]	[20];[21]	-	perception;adapters;security	reserve an interface without making BCI a dependency	clinical safety and signal reliability constraints	RESERVE	YES	simulated ABI and adapter qualification	not_started	REGISTERED	explicit optionality protects local operation	-	clinical approval and measured adapter evidence	technology_mining_addendum:1380-1381	2026-09-02
RES-ADAPTIVE-DECODER	Context-aware decoder selection	PATENT	Contextualized BCI decoding patent	User supplied research	2026	perception	adaptive_decoding	Sensor context can select among decoders rather than forcing one fixed model.	adapt speech vision wearable and motor-intent decoding	context features selecting a bounded decoder	E1	U4	patent claim is not validated implementation	adaptive sensor pipelines	[22]	-	-	perception;adapters	context should be observable and auditable	patent scope and dataset shift can constrain reuse	YES	YES	decoder-selection and fallback tests	not_started	REGISTERED	useful general adapter principle with IP boundary	-	prior-art and measured generalization evidence	technology_mining_addendum:1381	2026-09-02
RES-MEMRISTIVE-SYNAPSE	Memristive and synaptic hardware	PATENT	Memristor artificial synapse research	User supplied research	2026	compute	memristive	Memristive devices combine processing and memory in an experimental hardware direction.	track digital synapse candidates and future hardware backends	resistive state used as synaptic weight	E1	U3	active research and patent landscape	memristive devices	[24]	-	-	compute;cognition	keep a software digital-synapse abstraction	fabrication variability and lack of local hardware	RESERVE	YES	digital model and hardware qualification	not_started	REGISTERED	research-only backend candidate	-	qualified hardware and benchmark	technology_mining_addendum:1383	2026-09-02
RES-POLARITON	Polariton neuromorphic direction	SCIENTIFIC	Polariton lattice research	User supplied research	2026	compute	polariton	Polariton networks are retained as a research direction, not a local implementation claim.	study nontraditional parallel neuromorphic dynamics	condensate interactions and optical computation	E3	U2	experimental research; no local hardware	polariton lattices	-	[27]	-	compute;research	retain only testable abstractions	physical setup and reproducibility constraints	NO	YES	simulation-only model	not_started	REGISTERED	keeps high-risk research separated from baseline	-	repeated experimental evidence and adapter	technology_mining_addendum:1386	2026-09-02
RES-TIME-CRYSTAL	Time-crystal research	SCIENTIFIC	Time-crystal experiments	User supplied research	2026	physics	quantum_materials	Time-crystal phenomena are tracked separately from unsupported general-purpose time-crystal computers.	understand temporal ordering and bounded simulation analogies	periodic many-body dynamics	E3	U2	experimental phenomenon; computing platform unestablished	quantum and condensed-matter experiments	-	[28]	-	research;simulation	separate observed phenomena from extrapolated computing claims	general-purpose platform claim lacks evidence	NO	YES	simulation and evidence-class tests	not_started	REGISTERED	preserves useful physics research without overclaiming	-	replicated experiments and engineering demonstration	technology_mining_addendum:1387;1427	2026-09-02
RES-SELF-HEALING	Self-healing software and materials	SCIENTIFIC	Self-healing research and autonomic repair	User supplied research	2026	organism	self_healing	Self-healing patterns connect software repair, materials research and future body systems.	repair faults while preserving integrity and provenance	fault detection, isolation, repair and validation	E3	U5	software principles are implementable; materials remain future research	self-healing software and polymers	[31]	[29];[30]	-	immune;runtime;body	repair must be measured and reversible before acceptance	repair can mask corruption or create new faults	YES	YES	fault-injection and rollback tests	not_started	REGISTERED	directly informs future repair contracts	-	qualified repair benchmark and safety policy	technology_mining_addendum:1388-1390	2026-09-02
RES-SWARM	Swarm and collective intelligence	SCIENTIFIC	Swarm robotics research	User supplied research	2026	agents	collective_intelligence	Local interactions can produce group-level computation and sensing, with explicit failure analysis.	compare centralized distributed and hybrid cognition	local rules, communication and aggregation	E3	U4	active research; local devices unqualified	robot swarms	[33]	[32];[37]	Ring Builders and collective fiction	agents;network;research	measure dissent, correlated error and identity dilution	groupthink, misinformation and network compromise	YES	YES	swarm simulation and adversarial tests	not_started	REGISTERED	researches distribution without assuming a hive is superior	-	qualified multi-node adapter and safety evidence	technology_mining_addendum:1391-1392;1412	2026-09-02
RES-AR-SENSOR-FUSION	AR and smart-glasses sensor fusion	PATENT	Sensor-fusion augmented-reality eyewear	User supplied research	2026	perception	sensor_fusion	AR eyewear prior art is tracked as a possible route for synchronized contextual sensing.	combine camera motion and contextual signals	multi-sensor alignment and context fusion	E1	U4	patent disclosure is not product validation	AR glasses and sensor fusion	[34]	-	-	perception;body;adapters	preserve sensor source and confidence	device-specific claims and privacy boundaries	RESERVE	YES	fusion simulation and adapter tests	not_started	REGISTERED	maps prior art to a bounded adapter candidate	-	legal review and measured device route	technology_mining_addendum:1393	2026-09-02
RES-PQC	Post-quantum cryptography planning	STANDARD	NIST post-quantum standards	User supplied research	2026	security	cryptography	Post-quantum algorithms are tracked for future identity and provenance provider selection.	plan migration of cryptographic providers	standardized key encapsulation and signatures	E6	U5	standards exist; Genesis provider integration not qualified	post-quantum cryptography	-	[35]	-	security;identity;provenance	cryptographic claims require an approved provider and threat model	algorithm migration and interoperability risk	YES	YES	provider and compatibility tests	not_started	REGISTERED	direct planning value for future cryptographic boundary	-	approved provider, key custody and measured interoperability	technology_mining_addendum:1394	2026-09-02
RES-DIGITAL-TWIN	Digital twins and simulation	SCIENTIFIC	Digital twin research	User supplied research	2026	simulation	digital_twins	Digital twins provide a controlled way to compare live, simulated and divergent state.	model systems and track divergence from source	state snapshots, observations and branch comparison	E4	U5	implementation depends on domain and measurement quality	digital twins	-	-	Vex and simulation fiction	simulation;identity;world_model	separate simulation time, wall time and organism time	model error can be mistaken for physical observation	YES	YES	divergence and time-domain tests	not_started	REGISTERED	direct architectural value for safe experimentation	-	validated observations and merge policy	technology_mining_addendum:1372;1414-1415	2026-09-02
RES-SELF-ASSEMBLY	Local-rule self-assembly and morphogenesis	PRINCIPLE	Biological technology research	User supplied research	2026	organism	morphogenesis	Simple local rules can generate complex global structure in cells, agents, networks and bodies.	study development, organization and repair	local interactions with bounded global constraints	E2	U4	analogy and research principle, not biological equivalence	self-assembly and morphogenesis	-	-	biology and science fiction	cells;tissues;development;network	local rules can scale into organized structure	unbounded self-assembly can escape safety constraints	YES	YES	bounded growth and failure-injection tests	not_started	REGISTERED	guides later digital development research	-	measured convergence and resource safety	technology_mining_addendum:1409-1410	2026-09-02
RES-COLLECTIVE-INTELLIGENCE	Collective intelligence comparison	SCIENTIFIC	Collective intelligence research	User supplied research	2026	agents	collective_intelligence	Centralized, distributed and hybrid cognition are compared with explicit group failure metrics.	derive group-level sensing and computation	local interaction, aggregation and dissent preservation	E3	U4	active research; no default superiority claim	biological and robotic collectives	-	[37]	collective fiction	agents;cognition;network	knowledge sharing must not merge personality	correlated errors and consensus failures	YES	YES	collective simulation and adversarial tests	not_started	REGISTERED	provides a measurable alternative to centralized cognition	-	qualified multi-agent evidence	technology_mining_addendum:1411-1413	2026-09-02
RES-SIM-ACCELERATION	Simulation acceleration	PRINCIPLE	Digital laboratory time domains	User supplied research	2026	simulation	accelerated_time	Development and design experiments may run faster than wall-clock time while retaining separate clocks.	accelerate safe training and evolutionary experiments	simulation, wall and organism clocks	E0	U5	not a physical mechanism	accelerated simulation	-	-	-	simulation;runtime;development	never conflate simulated time with observed physical time	fast simulation can amplify model errors	YES	YES	clock separation and replay tests	not_started	REGISTERED	extends deterministic logical time into research workflows	-	validated model and bounded resource policy	technology_mining_addendum:1414	2026-09-02
RES-BIOTECH	Biological technology research lane	PRINCIPLE	Synthetic biology and biohybrid systems	User supplied research	2026	organism	biotechnology	Synthetic biology, artificial cells, organoids and living materials are inspiration records only.	mine mechanisms for digital development and repair	biological organization and self-assembly analogies	E2	U2	Genesis remains digital-first	artificial cells and soft robotics	-	-	biology and biohybrid fiction	cells;tissues;development;body	use function concepts without implying biological equivalence	wet-lab safety, ethics and irreproducibility	NO	YES	digital analogue simulations	not_started	REGISTERED	broadens research while maintaining local digital scope	-	qualified scientific evidence and explicit safety review	technology_mining_addendum:1409	2026-09-02
RES-QUANTUM	Quantum computing research lane	SCIENTIFIC	Quantum computing research	User supplied research	2026	compute	quantum	Quantum systems are registered as a future research branch and not assumed available locally.	understand algorithms and possible backend interfaces	quantum state evolution and measurement	E3	U2	active research; no local qualification	quantum processors	-	-	quantum fiction	compute;research	keep simulated claims separate from hardware evidence	noise, calibration and availability constraints	RESERVE	YES	simulation-only experiments	not_started	REGISTERED	satisfies the research corpus boundary	-	qualified provider and measured benchmark	technology_mining_addendum:1449	2026-09-02
RES-ADVANCED-CIVILIZATION	Advanced-civilization technology mining	PRINCIPLE	Advanced-civilization research	User supplied research	2026	research	civilization_systems	Civilization-scale fiction is searched for computing, energy, communication, medicine, governance and education patterns.	find useful systems beyond AI-character catalogues	cross-domain technology and governance abstraction	E0	U2	not a physical mechanism	historical and fictional technologies	-	-	advanced-civilization fiction	research;governance;systems	search functions and constraints rather than spectacle	civilization narratives can hide unsupported mechanisms	YES	YES	cross-domain extraction tests	not_started	REGISTERED	captures the full research breadth requested	-	source provenance and clean-room review	technology_mining_addendum:1408	2026-09-02
RES-PROPULSION-SPEC	Speculative propulsion register	SPECULATIVE	Propulsion and UAP-derived claims	User supplied research	2026	physics	propulsion	Ion, plasma, nuclear, sail, fusion, field, warp and UAP-derived propulsion claims receive separate evidence classifications.	compare propulsion functions and testable mechanisms	claim decomposition, known-physics comparison and experiment	E1	U3	mixed; extraordinary claims require extraordinary evidence	propulsion research	-	-	UAP and science fiction	research;simulation	function may be achievable by another mechanism	reactionless, gravity-control and warp claims lack engineering evidence	NO	YES	falsifiability and evidence-class tests	not_started	REGISTERED	keeps a searchable speculative lane without baseline integration	-	reproducible experiment and qualified engineering evidence	technology_mining_addendum:1398;1406-1407	2026-09-02
RES-PATENT-INTELLIGENCE	Patent intelligence organ	PATENT	Patent intelligence organ	User supplied research	2026	research	prior_art	Relevant patents are mapped by publication, priority, applicant, family, jurisdiction, claim scope and product evidence.	connect patent claims to Genesis overlap and design-around review	claim mapping, legal-status tracking and prior-art graph	E1	U5	patent disclosure is not validation or permission to copy	patent databases	self-aware repair, AR fusion, BCI decoding, memristive and photonic systems	-	-	research;governance	search prior art before novelty claims	legal status and claim scope change over time	NO	YES	claim-map and provenance tests	not_started	REGISTERED	implements the patent-intelligence lane named in the addendum	-	legal review, jurisdiction and licensing evidence	technology_mining_addendum:1401-1404	2026-09-02
